URL,positive_score,negative_score,polarity_score,subjectivity_score,avg_sentence_length,percentage_complex_words,fog_index,avg_word_per_sentence,complex_word_count,total_words,syllable_count_per_word,personal_pronouns,avg_word_length
https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,46,10,0.64,0.05,16.92,0.24,6.86,16.92,252,1049,1.73,3,5.49
https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,42,10,0.62,0.05,22.2,0.24,8.98,22.2,236,977,1.79,1,5.45
https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,66,6,0.83,0.04,17.8,0.23,7.21,17.8,375,1655,1.68,4,5.18
https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,0,1,-1.0,1.0,1.0,0.0,0.4,1.0,0,1,2.0,0,5.0
https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,26,44,-0.26,0.07,20.35,0.25,8.24,20.35,245,997,1.85,4,5.49
https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,15,9,0.25,0.06,15.35,0.2,6.22,15.35,78,399,1.67,4,4.92
https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,41,14,0.49,0.04,21.7,0.17,8.75,21.7,223,1324,1.67,5,4.94
https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,23,3,0.77,0.05,28.56,0.23,11.52,28.56,120,514,1.72,1,5.18
https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,19,9,0.36,0.03,38.08,0.15,15.29,38.08,142,952,1.53,3,4.66
https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,29,14,0.35,0.05,20.73,0.22,8.38,20.73,184,829,1.74,1,5.17
https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,38,24,0.23,0.05,25.73,0.15,10.35,25.73,185,1261,1.54,23,4.56
https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,36,25,0.18,0.06,27.0,0.2,10.88,27.0,206,1026,1.69,6,5.24
https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0,1,-1.0,1.0,1.0,0.0,0.4,1.0,0,1,2.0,0,5.0
https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,65,37,0.27,0.07,18.13,0.14,7.31,18.13,199,1378,1.56,3,4.74
https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,72,33,0.37,0.06,20.21,0.21,8.17,20.21,352,1657,1.77,1,5.35
https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,71,24,0.49,0.06,16.75,0.16,6.76,16.75,240,1541,1.6,15,4.76
https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,55,22,0.43,0.05,25.31,0.18,10.2,25.31,296,1620,1.67,9,4.98
https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,53,23,0.39,0.06,22.72,0.16,9.15,22.72,195,1204,1.62,17,4.89
https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,27,12,0.38,0.06,16.02,0.17,6.48,16.02,121,705,1.65,5,4.99
https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,1,-1.0,1.0,1.0,0.0,0.4,1.0,0,1,2.0,0,5.0
https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,43,13,0.54,0.08,19.74,0.12,7.94,19.74,85,691,1.5,2,4.68
https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,77,40,0.32,0.06,27.17,0.17,10.94,27.17,360,2092,1.62,9,4.81
https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,56,60,-0.03,0.06,20.49,0.16,8.26,20.49,296,1824,1.56,0,4.97
https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,44,19,0.4,0.06,19.88,0.22,8.04,19.88,247,1133,1.75,6,5.37
https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,34,24,0.17,0.05,14.64,0.17,5.92,14.64,201,1171,1.6,4,4.94
https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,69,24,0.48,0.06,26.02,0.14,10.46,26.02,219,1587,1.58,12,4.73
https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0,1,-1.0,1.0,1.0,0.0,0.4,1.0,0,1,2.0,0,5.0
https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,28,0,1.0,0.06,22.43,0.23,9.06,22.43,110,471,1.79,0,5.36
https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,99,39,0.43,0.08,197.11,0.15,78.9,197.11,260,1774,1.57,14,4.69
https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,27,0,1.0,0.04,15.46,0.21,6.27,15.46,150,711,1.67,0,5.01
https://insights.blackcoffer.com/evolution-of-advertising-industry/,15,6,0.43,0.03,17.58,0.25,7.13,17.58,169,668,1.79,0,5.34
https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,2,3,-0.2,0.03,25.83,0.21,10.42,25.83,33,155,1.75,2,5.25
https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,1,-1.0,1.0,1.0,0.0,0.4,1.0,0,1,2.0,0,5.0
https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,35,66,-0.31,0.08,24.44,0.17,9.84,24.44,229,1320,1.64,2,5.06
https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,21,14,0.2,0.05,24.57,0.18,9.9,24.57,127,688,1.64,2,4.94
https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,72,37,0.32,0.06,17.0,0.16,6.86,17.0,303,1853,1.59,8,4.77
https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,52,3,0.89,0.09,14.56,0.2,5.9,14.56,124,626,1.73,4,5.1
https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,7,1,0.75,0.02,22.56,0.12,9.07,22.56,45,361,1.47,0,4.84
https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,23,8,0.48,0.04,22.35,0.15,9.0,22.35,111,760,1.55,4,4.73
https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,14,8,0.27,0.05,23.21,0.21,9.37,23.21,93,441,1.71,1,5.1
https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,19,8,0.41,0.07,13.89,0.17,5.62,13.89,64,375,1.7,0,5.11
https://insights.blackcoffer.com/how-we-forecast-future-technologies/,6,0,1.0,0.04,16.56,0.21,6.71,16.56,32,149,1.9,1,5.35
https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,26,33,-0.12,0.07,14.69,0.12,5.92,14.69,99,808,1.53,15,4.55
https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,11,2,0.69,0.08,21.12,0.12,8.5,21.12,21,169,1.54,1,4.66
https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,38,11,0.55,0.08,20.61,0.2,8.32,20.61,128,639,1.72,0,5.5
https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,2,6,-0.5,0.06,28.2,0.14,11.34,28.2,20,141,1.43,3,4.4
https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,9,25,-0.47,0.09,20.06,0.14,8.08,20.06,51,361,1.54,5,4.49
https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,31,48,-0.22,0.05,23.39,0.21,9.44,23.39,362,1684,1.7,10,5.26
https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,57,21,0.46,0.05,27.26,0.14,10.96,27.26,239,1690,1.52,18,4.71
https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,47,24,0.32,0.05,17.0,0.15,6.86,17.0,212,1394,1.55,12,4.76
https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,26,7,0.58,0.04,13.3,0.12,5.37,13.3,104,838,1.45,1,4.47
https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,51,8,0.73,0.04,22.02,0.13,8.86,22.02,179,1409,1.45,4,4.45
https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,35,6,0.71,0.09,28.88,0.17,11.62,28.88,80,462,1.57,7,4.61
https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,47,15,0.52,0.04,22.09,0.18,8.91,22.09,281,1524,1.67,5,5.05
https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,32,66,-0.35,0.1,13.77,0.12,5.56,13.77,113,950,1.48,10,4.55
https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,70,22,0.52,0.08,14.71,0.12,5.93,14.71,142,1162,1.45,3,4.5
https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,18,26,-0.18,0.05,23.17,0.13,9.32,23.17,129,973,1.5,0,4.78
https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,29,22,0.14,0.05,17.07,0.2,6.91,17.07,203,1024,1.74,7,5.15
https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,32,72,-0.38,0.11,13.85,0.12,5.59,13.85,121,983,1.49,11,4.6
https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,24,8,0.5,0.05,25.2,0.18,10.15,25.2,111,630,1.59,5,4.76
https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,9,6,0.2,0.05,25.27,0.17,10.18,25.27,46,278,1.6,0,4.88
https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,25,18,0.16,0.06,29.54,0.18,11.89,29.54,131,709,1.69,0,5.17
https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,28,32,-0.07,0.05,20.73,0.17,8.36,20.73,196,1140,1.59,2,5.01
https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,22,10,0.37,0.01,14.27,0.13,5.76,14.27,400,3026,1.55,0,4.98
https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,40,50,-0.11,0.05,20.59,0.17,8.3,20.59,288,1688,1.6,8,4.94
https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,28,61,-0.37,0.06,24.02,0.25,9.71,24.02,360,1417,1.82,0,5.44
https://insights.blackcoffer.com/human-rights-outlook/,0,1,-1.0,1.0,1.0,0.0,0.4,1.0,0,1,2.0,0,5.0
https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,0,1,-1.0,1.0,1.0,0.0,0.4,1.0,0,1,2.0,0,5.0
https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,44,33,0.14,0.04,15.08,0.17,6.1,15.08,311,1780,1.58,5,4.83
https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,50,14,0.56,0.04,18.92,0.17,7.64,18.92,274,1608,1.55,5,4.85
https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,36,30,0.09,0.06,22.22,0.15,8.95,22.22,157,1022,1.56,2,4.89
https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,17,41,-0.41,0.04,27.37,0.22,11.04,27.37,343,1560,1.75,1,5.22
https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,19,42,-0.38,0.07,19.23,0.17,7.76,19.23,158,904,1.65,3,4.97
https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,41,43,-0.02,0.07,17.01,0.16,6.87,17.01,188,1191,1.58,32,4.76
https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,28,26,0.04,0.05,28.81,0.18,11.6,28.81,194,1066,1.66,6,4.94
https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,0,1,-1.0,1.0,1.0,0.0,0.4,1.0,0,1,2.0,0,5.0
https://insights.blackcoffer.com/travel-and-tourism-outlook/,6,3,0.33,0.06,16.3,0.13,6.57,16.3,21,163,1.48,1,4.4
https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,34,45,-0.14,0.07,19.8,0.15,7.98,19.8,171,1109,1.57,11,4.76
https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,11,25,-0.39,0.06,16.32,0.17,6.6,16.32,93,555,1.63,2,5.04
https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,29,55,-0.31,0.08,21.92,0.21,8.85,21.92,223,1074,1.72,1,5.18
https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,31,34,-0.05,0.06,29.25,0.14,11.76,29.25,150,1053,1.52,4,4.61
https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,1,0,1.0,0.01,26.6,0.25,10.74,26.6,33,133,1.74,0,5.26
https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,0,1,-1.0,1.0,1.0,0.0,0.4,1.0,0,1,2.0,0,5.0
https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,0,1,-1.0,1.0,1.0,0.0,0.4,1.0,0,1,2.0,0,5.0
